X,Y,Profundidade,Rugosidade,Z,Nó
695127.2767,7460724.838,2.48,0.15,-2.48,1
695131.0253,7460717.81,2.48,0.15,-2.48,2
695123.3406,7460722.73,2.48,0.15,-2.48,3
695126.9018,7460716.088,2.48,0.15,-2.48,4
695129.151,7460721.324,2.48,0.15,-2.48,5
695125.1212,7460719.409,2.48,0.15,-2.48,6
695119.4045,7460720.621,2.48,0.15,-2.48,7
695122.7783,7460714.366,2.48,0.15,-2.48,8
695121.0914,7460717.494,2.48,0.15,-2.48,9
695114.0051,7460718.276,2.48,0.15,-2.48,10
695117.5924,7460712.055,2.48,0.15,-2.48,11
695115.7987,7460715.165,2.48,0.15,-2.48,12
695108.6056,7460715.931,2.48,0.15,-2.48,13
695112.4065,7460709.744,2.48,0.15,-2.48,14
695110.5061,7460712.838,2.48,0.15,-2.48,15
695104.4658,7460706.196,2.48,0.15,-2.48,16
695100.8491,7460712.52,2.48,0.15,-2.48,17
695102.6575,7460709.357,2.48,0.15,-2.48,18
695096.5251,7460702.647,2.48,0.15,-2.48,19
695093.0926,7460709.108,2.48,0.15,-2.48,20
695094.8089,7460705.878,2.48,0.15,-2.48,21
695087.2626,7460698.824,2.48,0.15,-2.48,22
695083.7759,7460704.852,2.48,0.15,-2.48,23
695085.5192,7460701.838,2.48,0.15,-2.48,24
695078,7460695,2.48,0.15,-2.48,25
695074.4591,7460700.596,2.48,0.15,-2.48,26
695076.2296,7460697.798,2.48,0.15,-2.48,27
695059.7296,7460693.798,2.48,0.15,-2.48,28
695063,7460688.5,2.48,0.15,-2.48,29
695061.3648,7460691.149,2.48,0.15,-2.48,30
695045,7460687,2.48,0.15,-2.48,31
695048,7460682,2.48,0.15,-2.48,32
695046.5,7460684.5,2.48,0.15,-2.48,33
695027.5,7460679.5,2.48,0.15,-2.48,34
695030.5,7460674,2.48,0.15,-2.48,35
695029,7460676.75,2.48,0.15,-2.48,36
695010,7460672,2.48,0.15,-2.48,37
695013,7460666,2.48,0.15,-2.48,38
695011.5,7460669,2.48,0.15,-2.48,39
694989.2957,7460662.926,2.48,0.15,-2.48,40
694992,7460657,2.48,0.15,-2.48,41
694990.6479,7460659.963,2.48,0.15,-2.48,42
694968.5914,7460653.852,2.48,0.15,-2.48,43
694971,7460648,2.48,0.15,-2.48,44
694969.7957,7460650.926,2.48,0.15,-2.48,45
694945.0683,7460643.721,2.48,0.15,-2.48,46
694948,7460638,2.48,0.15,-2.48,47
694946.5341,7460640.86,2.48,0.15,-2.48,48
694921.5451,7460633.59,2.48,0.15,-2.48,49
694925,7460628,2.48,0.15,-2.48,50
694923.2726,7460630.795,2.48,0.15,-2.48,51
694898.4749,7460623.536,2.48,0.15,-2.48,52
694902.0656,7460617.597,2.48,0.15,-2.48,53
694900.2702,7460620.566,2.48,0.15,-2.48,54
694875.4047,7460613.481,2.48,0.15,-2.48,55
694879.1312,7460607.193,2.48,0.15,-2.48,56
694877.268,7460610.337,2.48,0.15,-2.48,57
694854.0119,7460604.323,2.48,0.15,-2.48,58
694857.8954,7460597.528,2.48,0.15,-2.48,59
694855.9536,7460600.925,2.48,0.15,-2.48,60
694832.6191,7460595.165,2.48,0.15,-2.48,61
694836.6595,7460587.862,2.48,0.15,-2.48,62
694834.6393,7460591.514,2.48,0.15,-2.48,63
694806.2617,7460583.43,2.48,0.15,-2.48,64
694809.7462,7460576.642,2.48,0.15,-2.48,65
694808.004,7460580.036,2.48,0.15,-2.48,66
694779.9043,7460571.695,2.48,0.15,-2.48,67
694782.8329,7460565.421,2.48,0.15,-2.48,68
694781.3686,7460568.558,2.48,0.15,-2.48,69
694760.2216,7460563.027,2.48,0.15,-2.48,70
694763.3804,7460556.957,2.48,0.15,-2.48,71
694761.801,7460559.992,2.48,0.15,-2.48,72
694740.5389,7460554.358,2.48,0.15,-2.48,73
694743.9279,7460548.493,2.48,0.15,-2.48,74
694742.2334,7460551.426,2.48,0.15,-2.48,75
694726.5915,7460548.232,2.48,0.15,-2.48,76
694729.7199,7460542.041,2.48,0.15,-2.48,77
694728.1557,7460545.136,2.48,0.15,-2.48,78
694712.6441,7460542.106,2.48,0.15,-2.48,79
694715.5118,7460535.588,2.48,0.15,-2.48,80
694714.078,7460538.847,2.48,0.15,-2.48,81
694700.6219,7460524.004,2.48,0.15,-2.48,82
694704.2559,7460518.294,2.48,0.15,-2.48,83
694702.4389,7460521.149,2.48,0.15,-2.48,84
694688.5996,7460505.901,2.48,0.15,-2.48,85
694693,7460501,2.48,0.15,-2.48,86
694690.7998,7460503.451,2.48,0.15,-2.48,87
694679.9087,7460495.085,2.48,0.15,-2.48,88
694685.2832,7460487.212,2.48,0.15,-2.48,89
694682.5959,7460491.148,2.48,0.15,-2.48,90
694671.2177,7460484.269,2.48,0.15,-2.48,91
694677.5663,7460473.423,2.48,0.15,-2.48,92
694674.392,7460478.846,2.48,0.15,-2.48,93
694659.7832,7460470.212,2.48,0.15,-2.48,94
694657.587,7460475.022,2.48,0.15,-2.48,95
694869.3387,7460446.893,0.1263,0.02,-0.1263,96
694830.9549,7460459.669,0.3624,0.02,-0.3624,97
694838.3953,7460439.784,0.6039,0.02,-0.6039,98
694792.4365,7460457.61,0.9094,0.02,-0.9094,99
694803.4316,7460434.597,1.1715,0.02,-1.1715,100
694639.5639,7460475.395,2.48,0.15,-2.48,101
694642,7460467,2.48,0.15,-2.48,102
694640.782,7460471.198,2.48,0.15,-2.48,103
694655.3908,7460479.832,2.48,0.15,-2.48,104
694876.779,7460427.008,0.4037,0.02,-0.4037,105
694907.7224,7460434.117,0.1131,0.02,-0.1131,106
694845.8356,7460419.898,0.9098,0.02,-0.9098,107
694753.9181,7460455.55,1.4593,0.02,-1.4593,108
694814.4268,7460411.584,1.4925,0.02,-1.4925,109
694768.468,7460429.41,1.7456,0.02,-1.7456,110
694783.0179,7460403.27,1.9927,0.02,-1.9927,111
694624.282,7460470.198,2.48,0.15,-2.48,112
694627.5,7460462.5,2.48,0.15,-2.48,113
694625.891,7460466.349,2.48,0.15,-2.48,114
694954.7418,7460399.745,0.1127,0.02,-0.1127,115
695001.7611,7460365.374,-0.1449,0.02,0.1449,116
694970.3196,7460358.229,-0.0083,0.02,0.0083,117
694923.3003,7460392.6,0.6193,0.02,-0.6193,118
694889.5509,7460386.128,1.2576,0.02,-1.2576,119
694855.8015,7460379.656,1.9309,0.02,-1.9309,120
694822.7324,7460371.89,2.3072,0.02,-2.3072,121
694789.6632,7460364.125,2.7071,0.02,-2.7071,122
694725.3964,7460450.198,1.6392,0.02,-1.6392,123
694739.4265,7460421.653,2.0891,0.02,-2.0891,124
694696.8746,7460444.845,1.7365,0.02,-1.7365,125
694710.385,7460413.896,2.0946,0.02,-2.0946,126
694753.4566,7460393.109,2.4169,0.02,-2.4169,127
694760.0677,7460356.178,3.2346,0.02,-3.2346,128
695043.2068,7460262.475,-0.0364,0.15,0.0364,129
695005.0926,7460249.691,-0.0122,0.15,0.0122,130
695022.484,7460313.925,-0.1159,0.02,0.1159,131
694987.7061,7460303.959,-0.0562,0.02,0.0562,132
694673.8081,7460435.767,1.8359,0.02,-1.8359,133
694686.8036,7460403.568,2.0981,0.02,-2.0981,134
695176.1186,7460275.337,-0.0687,0.15,0.0687,135
695221.7917,7460284.245,-0.1276,0.02,0.1276,136
695161.4752,7460224.543,-0.0936,0.15,0.0936,137
695210.9986,7460228.347,0.215,0.02,-0.215,138
695267.4648,7460293.153,-0.2566,0.02,0.2566,139
695260.522,7460232.152,1.0336,0.02,-1.0336,140
