Tempo (s)	Intensidade (m/s)	Direção (graus)
0.0000	2.0200	106.5600
10800.0000	2.2000	65.1100
21600.0000	2.0200	50.6300
32400.0000	2.6200	61.4800
43200.0000	2.9100	71.0900
54000.0000	2.8500	100.2200
64800.0000	4.9500	90.9000
75600.0000	4.9600	86.5400
86400.0000	3.6400	87.1800
97200.0000	4.8300	80.2500
108000.0000	4.3600	70.1500
118800.0000	3.6700	48.0900
129600.0000	2.6200	55.5800
140400.0000	2.6900	62.5800
151200.0000	3.1600	52.9800
162000.0000	3.0600	70.5600
172800.0000	1.9600	77.2600
183600.0000	1.3400	30.1900
194400.0000	1.8100	10.8100
205200.0000	1.8300	33.0900
216000.0000	1.9200	17.7000
226800.0000	1.1700	295.8600
237600.0000	3.3300	183.7100
248400.0000	0.8510	63.9200
259200.0000	1.6600	305.1600
270000.0000	1.7300	282.4500
280800.0000	1.4300	252.8000
291600.0000	1.0200	24.3400
302400.0000	1.0500	166.8700
313200.0000	2.1900	203.2600
324000.0000	2.0100	196.6400
334800.0000	0.1790	70.6000
345600.0000	1.9900	3.7700
356400.0000	1.9700	358.2600
367200.0000	1.3800	2.7200
378000.0000	1.8700	44.1300
388800.0000	1.9700	306.7500
399600.0000	1.8200	238.0300
410400.0000	2.4600	143.2700
421200.0000	2.9600	77.6600
432000.0000	0.8970	28.5100
442800.0000	0.6320	77.7700
453600.0000	1.6400	37.0500
464400.0000	2.1500	30.5100
475200.0000	1.4000	325.9100
486000.0000	1.6000	200.1000
496800.0000	2.2200	160.2100
507600.0000	1.9600	141.0200
518400.0000	1.2200	330.4100
529200.0000	2.1100	281.4400
540000.0000	1.4900	243.8500
550800.0000	1.7600	221.7700
561600.0000	0.9360	277.8600
572400.0000	1.5800	219.0800
583200.0000	2.7600	82.4700
594000.0000	3.1800	91.8700
604800.0000	1.7400	100.8600
615600.0000	2.3900	82.1900
626400.0000	1.8000	58.9800
637200.0000	1.1100	31.7400
648000.0000	1.5100	24.1200
658800.0000	1.2000	134.2600
669600.0000	3.9500	140.5500
680400.0000	1.7600	117.8100
691200.0000	2.5800	239.2600
702000.0000	0.6100	281.0500
712800.0000	1.0700	5.7100
723600.0000	1.9800	47.4500
734400.0000	2.4500	6.0100
745200.0000	1.4500	7.0500
756000.0000	2.1600	139.8900
766800.0000	2.7000	100.9600
777600.0000	0.6130	153.5600
788400.0000	0.6040	13.6900
799200.0000	1.9700	5.0700
810000.0000	1.8300	14.1700
820800.0000	1.9200	0.8200
831600.0000	1.7900	310.7100
842400.0000	1.8900	211.1200
853200.0000	2.2700	108.9200
864000.0000	2.0400	61.3000
874800.0000	1.3600	20.8600
885600.0000	1.7900	358.8800
896400.0000	2.4800	355.6700
907200.0000	1.4300	57.7000
918000.0000	1.7900	47.4900
928800.0000	2.1000	151.6800
939600.0000	2.5500	141.2000
950400.0000	3.8400	41.2000
961200.0000	3.5500	345.2500
972000.0000	3.7200	273.3800
982800.0000	1.7600	350.0300
993600.0000	0.5850	25.2100
1004400.0000	4.0100	243.1800
1015200.0000	1.0100	61.9300
1026000.0000	1.5600	91.7000
1036800.0000	4.2200	210.0300
1047600.0000	0.4970	333.8500
1058400.0000	0.7020	324.0900
1069200.0000	1.2000	82.6700
1080000.0000	0.6250	342.7000
1090800.0000	2.8700	212.9200
1101600.0000	3.8700	192.5600
1112400.0000	1.9700	169.6600
1123200.0000	1.7300	50.6200
1134000.0000	1.6500	307.8400
1144800.0000	1.4200	295.5500
1155600.0000	0.8510	57.4300
1166400.0000	1.4300	13.2800
1177200.0000	2.7500	245.7600
1188000.0000	3.3800	194.0900
1198800.0000	2.3300	224.6500
1209600.0000	1.4900	265.1000
1220400.0000	2.0100	328.2100
1231200.0000	1.2700	311.5900
1242000.0000	0.4040	330.6400
